year,amount_type,count,year_total,pct
1950,none,3,3,100.0
1960,none,1,1,100.0
1970,none,1,1,100.0
1974,none,1,1,100.0
1975,none,1,3,33.3
1975,range,2,3,66.7
1977,discretionary_text,1,4,25.0
1977,none,3,4,75.0
1978,discretionary_text,1,4,25.0
1978,none,3,4,75.0
1979,none,1,1,100.0
1981,discretionary_text,1,5,20.0
1981,none,4,5,80.0
1982,none,1,1,100.0
1983,none,2,3,66.7
1983,range,1,3,33.3
1984,discretionary_text,4,6,66.7
1984,none,2,6,33.3
1985,none,1,1,100.0
1989,none,12,18,66.7
1989,range,6,18,33.3
1990,discretionary_text,1,26,3.8
1990,fixed,2,26,7.7
1990,none,18,26,69.2
1990,range,5,26,19.2
1991,none,20,25,80.0
1991,range,5,25,20.0
1992,fixed,1,38,2.6
1992,none,29,38,76.3
1992,range,8,38,21.1
1993,fixed,1,21,4.8
1993,none,13,21,61.9
1993,range,7,21,33.3
1994,discretionary_text,4,40,10.0
1994,fixed,2,40,5.0
1994,none,27,40,67.5
1994,range,7,40,17.5
1995,discretionary_text,5,46,10.9
1995,none,35,46,76.1
1995,range,6,46,13.0
1996,fixed,1,30,3.3
1996,none,23,30,76.7
1996,range,6,30,20.0
1997,fixed,1,24,4.2
1997,none,17,24,70.8
1997,range,6,24,25.0
1998,fixed,2,30,6.7
1998,none,23,30,76.7
1998,range,5,30,16.7
1999,fixed,1,48,2.1
1999,none,28,48,58.3
1999,range,19,48,39.6
2000,discretionary_text,4,107,3.7
2000,fixed,3,107,2.8
2000,none,40,107,37.4
2000,range,60,107,56.1
2001,fixed,4,17,23.5
2001,none,10,17,58.8
2001,range,3,17,17.6
2002,discretionary_text,5,42,11.9
2002,fixed,6,42,14.3
2002,none,28,42,66.7
2002,range,3,42,7.1
2003,discretionary_text,4,63,6.3
2003,fixed,22,63,34.9
2003,none,11,63,17.5
2003,range,26,63,41.3
2004,fixed,21,67,31.3
2004,none,14,67,20.9
2004,range,32,67,47.8
2005,discretionary_text,4,34,11.8
2005,fixed,10,34,29.4
2005,none,10,34,29.4
2005,range,10,34,29.4
2006,fixed,9,47,19.1
2006,none,12,47,25.5
2006,range,26,47,55.3
2007,fixed,4,19,21.1
2007,none,9,19,47.4
2007,range,6,19,31.6
2008,fixed,2,16,12.5
2008,none,1,16,6.2
2008,range,13,16,81.2
2009,fixed,7,36,19.4
2009,none,17,36,47.2
2009,range,12,36,33.3
2010,fixed,7,14,50.0
2010,none,4,14,28.6
2010,range,3,14,21.4
2011,discretionary_text,5,55,9.1
2011,fixed,25,55,45.5
2011,none,17,55,30.9
2011,range,8,55,14.5
2012,fixed,5,29,17.2
2012,none,9,29,31.0
2012,range,15,29,51.7
2013,discretionary_text,4,21,19.0
2013,fixed,1,21,4.8
2013,none,9,21,42.9
2013,range,7,21,33.3
2014,fixed,8,33,24.2
2014,none,11,33,33.3
2014,range,14,33,42.4
2015,discretionary_text,5,23,21.7
2015,fixed,2,23,8.7
2015,none,10,23,43.5
2015,range,6,23,26.1
2017,discretionary_text,6,46,13.0
2017,fixed,7,46,15.2
2017,none,17,46,37.0
2017,range,16,46,34.8
2018,discretionary_text,7,25,28.0
2018,fixed,1,25,4.0
2018,none,17,25,68.0
2019,discretionary_text,5,28,17.9
2019,fixed,11,28,39.3
2019,none,12,28,42.9
2020,fixed,22,65,33.8
2020,none,21,65,32.3
2020,range,22,65,33.8
2021,discretionary_text,5,48,10.4
2021,fixed,11,48,22.9
2021,none,16,48,33.3
2021,range,16,48,33.3
2022,fixed,2,17,11.8
2022,none,8,17,47.1
2022,range,7,17,41.2
2023,range,2,2,100.0
2024,none,3,3,100.0
