year,avg_min,avg_max,avg_fixed,n_statutes
1978,,150000.0,,1
1989,,1012.5,,12
1990,876.875,,1000.0,9
1991,750.0,,1000.0,10
1992,2000.0,,,9
1993,1687.5,375.0,12.0,16
1994,750.0,,,1
1995,30.0,,75.0,39
1996,1437.5,,,25
1997,383.5833333333333,290.0,12.0,34
1998,580.0,,250.0,25
1999,833.3333333333334,,145.0,29
2000,333.3333333333333,206600.0,621.3333333333334,38
2001,150.21428571428572,,583.3333333333334,23
2002,58.583333333333336,,,12
2003,333.3333333333333,,250.0,21
2004,333.3333333333333,,630.0,19
2005,521.4285714285714,,954.5454545454545,35
2006,333.3333333333333,416.6666666666667,721.25,24
2007,375.0,,821.4285714285714,24
2008,875.0,,855.2631578947369,31
2009,970.8333333333334,,875.0,11
2010,916.6666666666666,,,5
2011,750.0,5250.0,620.0,32
2012,283.3333333333333,500.0,875.0,10
2013,100.0,500.0,,5
2014,9000.0,,,4
2015,,,1000.0,3
2016,387.5,,805.5555555555555,9
2017,,,,4
2018,600.0,,711.5384615384615,24
2019,535.7142857142857,,646.4285714285714,24
2020,,,,1
2021,832.1428571428571,10000.0,300.0,8
2022,12.875,,,5
2023,500.0,,774.5454545454545,17
2024,916.6666666666666,,875.0,8
