year,unique_statutes_changed
1899.0,1
1909.0,1
1917.0,1
1931.0,1
1937.0,1
1953.0,1
1957.0,1
1963.0,1
1969.0,3
1971.0,1
1972.0,60
1973.0,7
1974.0,2
1975.0,2
1976.0,5
1977.0,1
1978.0,2
1979.0,5
1980.0,4
1981.0,10
1982.0,5
1983.0,6
1984.0,6
1985.0,3
1986.0,13
1987.0,3
1988.0,11
1989.0,14
1990.0,14
1991.0,1
1992.0,14
1993.0,19
1994.0,37
1995.0,4
1996.0,8
1997.0,20
1998.0,13
1999.0,13
2000.0,22
2001.0,4
2002.0,15
2003.0,13
2004.0,9
2005.0,31
2006.0,25
2007.0,6
2008.0,7
2009.0,19
2010.0,8
2011.0,13
2012.0,7
2013.0,1
2014.0,15
2015.0,9
2016.0,10
2017.0,1
2018.0,16
2019.0,12
2020.0,3
2021.0,2
2022.0,5
2023.0,6
2024.0,23
